campaign_id,date,channel,region,device_type,audience_segment,campaign_objective,impressions,clicks,ctr_pct,spend_usd,conversions,conversion_rate_pct,bounce_rate_pct,session_duration_sec,audience_age,ad_quality_score,revenue_usd,roas_calc,ctr_calc,cvr_calc,cpc,cpa,intent_score,engagement_depth,cost_waste_ratio,campaign_health_score,risk_flag
C00001,12-04-2024,Affiliate,North,Mobile,Gen X,Traffic,103401,2129.0,2.06,1225.6,20.0,0.94,57.89,104,29,7.12,1626.91,1.326357410728844,2.0589543722558554,0.9389671361502347,0.5753990610328638,58.36190476190476,0.01660044150110375,43.7944,1214.07936,0.21363832902727847,0
C00002,25-05-2025,Social,South,Mobile,Gen Z,App Installs,90582,1498.0,1.65,0.0,67.0,4.47,57.91,167,30,6.23,4973.81,4973.81,1.6537319364560679,4.469646430953969,0.0,0.0,0.1267170259718214,70.2903,0.0,0.21243083621240186,0
C00003,18-07-2025,Video,North,Mobile,Gen Z,Traffic,164972,5995.0,3.63,7864.4,279.0,4.65,45.3,251,27,7.48,13342.42,1.69634347903476,3.633927976093058,4.653102068045364,1.3116077384923281,28.087142857142855,0.25208423326133916,137.297,7498.7054,0.22488825670049645,0
C00004,26-09-2024,Social,Central,Mobile,Millennials,App Installs,80041,2549.0,3.18,5207.31,205.0,8.04,53.29,69,24,8.08,12948.48,2.486119297814454,3.184578096499338,8.03921568627451,2.0420823529411765,25.27820388349515,0.10218456437649658,32.2299,4788.6422760000005,0.24260706372882304,0
C00005,04-06-2025,Video,South,CTV,Gen X,Awareness,227525,8106.0,3.56,10228.7,557.0,6.87,44.81,148,27,5.34,30931.58,3.0237035299177886,3.562669760818544,6.870605649438756,1.2617121006537562,18.331003584229393,0.2219515389652914,81.6812,9525.98831,0.16063767338732582,0
C00006,30-06-2025,Social,West,Tablet,Gen X,Traffic,77167,1964.0,2.55,3487.88,110.0,5.6,38.19,136,46,6.91,5761.18,1.6512978377014973,2.545096413020941,5.597964376590331,1.775002544529262,31.422342342342343,0.19433528961469762,84.06160000000001,3292.55872,0.20767815084675748,0
C00007,05-04-2024,Social,East,Mobile,Gen Z,Sales,109326,3362.0,3.08,5972.72,231.0,6.87,42.85,141,26,4.78,18602.2,3.1140060130036225,3.075178135318814,6.868867082961641,1.776009515313708,25.74448275862069,0.22090535917901938,80.5815,5562.394136,0.14383614200930775,0
C00008,01-10-2025,Search,East,Tablet,Gen X,Awareness,112448,5095.0,4.53,5445.3,314.0,6.16,48.48,75,32,6.37,23759.01,4.36241301434001,4.530942916344298,6.161695447409733,1.068543956043956,17.28666666666667,0.09337105901374293,38.64000000000001,5109.86952,0.19129983475865775,0
C00009,08-01-2025,Affiliate,West,Mobile,Boomers,Awareness,52078,644.0,1.24,480.87,35.0,5.43,45.37,154,36,8.86,1828.24,3.7940523377674475,1.2365828836959236,5.426356589147287,0.7455348837209302,13.3575,0.18033642441233558,84.1302,454.758759,0.2661624107221943,0
C00010,30-12-2025,Email,East,Tablet,Millennials,Awareness,80570,3712.0,4.61,1196.29,208.0,5.6,84.86,100,51,6.15,18047.14,15.073323923193211,4.607116704521478,5.60193913277673,0.32218960409372477,5.723875598086124,0.06522245515956207,15.139999999999997,1129.29776,0.18470073792005887,0
C00011,06-02-2025,Search,South,Tablet,Gen Z,Traffic,145137,6100.0,4.2,10582.49,507.0,8.31,69.54,212,41,7.31,24490.54,2.314032516684005,4.202896553624826,8.310113096213735,1.7345500737584003,20.831673228346457,0.2497476609016161,64.5752,9703.085081000001,0.2197869516787273,0
C00012,23-05-2024,Search,West,Tablet,Boomers,Leads,135686,8357.0,6.16,14780.37,460.0,5.5,32.19,191,40,7.45,42084.6,2.847137985179993,6.159027762423814,5.503709021296961,1.7684099066762384,32.06154013015185,0.3165109972883399,129.5171,13967.44965,0.22411669046918764,0
C00013,19-09-2025,Social,East,Tablet,Millennials,Leads,118642,3188.0,2.69,4524.9,135.0,4.23,40.73,92,36,8.15,15883.16,3.509392606995294,2.6870527549033656,4.233301975540922,1.4189087488240826,33.27132352941176,0.09325664989216392,54.5284,4333.49673,0.24469527982582426,0
C00014,02-02-2024,Affiliate,North,Desktop,Millennials,Traffic,106490,3939.0,3.7,4755.03,85.0,2.16,51.55,43,42,5.73,10476.03,2.2026837509435393,3.698904132743612,2.1573604060913705,1.2068604060913706,55.291046511627904,0.017674595623215987,20.8335,4652.321352,0.1719448285329192,0
C00015,25-04-2025,Video,West,Tablet,Millennials,Leads,161427,3367.0,2.09,4725.02,221.0,6.56,39.3,69,39,6.33,23580.83,4.989574737305386,2.085759595609188,6.561757719714964,1.40291567695962,21.283873873873876,0.11231761786600497,41.882999999999996,4415.058688,0.19013907254150622,0
C00016,19-07-2025,Search,South,Mobile,Gen X,Sales,145751,9873.0,6.77,14639.45,654.0,6.62,67.99,102,22,9.07,70207.57,4.7954516425383105,6.773835007409847,6.6234555398014985,1.4826260887178448,22.35030534351145,0.09787505435570373,32.650200000000005,13670.31841,0.27231060616652525,1
C00017,11-02-2025,Display,North,Desktop,Gen X,Traffic,214876,3654.0,1.7,4203.34,90.0,2.46,34.71,69,34,7.25,5712.27,1.358660336699696,1.7005077323305893,2.462380300957592,1.1500246238030096,46.190549450549454,0.047532903948473815,45.0501,4099.937836,0.2175973473458189,0
C00018,28-07-2025,Affiliate,West,CTV,Boomers,Traffic,79268,1624.0,2.05,1661.42,46.0,2.83,59.78,136,29,7.66,5601.56,3.3695215408861783,2.048720180650696,2.830769230769231,1.0224123076923077,35.34936170212766,0.0633234616650214,54.6992,1614.401814,0.22993761585116704,0
C00019,17-10-2025,Display,South,Desktop,Gen X,App Installs,197682,2042.0,1.03,1745.92,0.0,0.0,46.99,140,34,7.48,283.61,0.16234859066242302,1.0329669217889246,0.0,0.8545863925599608,1745.92,0.0,74.214,1745.92,0.22440082547444554,0
C00020,28-09-2024,Video,Central,CTV,Gen X,Traffic,296058,8878.0,3.0,11069.35,529.0,5.96,,143,45,6.09,38030.17,3.4353177632143517,2.9987266051699155,5.9578781394301155,1.2466888163081429,20.88556603773585,0.16711372549019607,71.5,10409.616740000001,0.18303542835892894,0
C00021,10-09-2024,Social,Central,CTV,Gen Z,Awareness,71395,2346.0,3.29,3275.66,127.0,5.41,58.07,214,18,6.7,11182.5,3.4127739832634454,3.285898369656563,5.411163187047294,1.3956795909671922,25.59109375,0.19599458269849332,89.7302,3098.446794,0.2013902642902887,0
C00022,25-10-2025,Search,South,Desktop,Boomers,App Installs,148727,9962.0,6.7,17081.46,875.0,8.78,67.91,119,35,5.7,62072.09,3.6336739556246584,6.698133505459632,8.78249523235973,1.7144896115627821,19.499383561643835,0.15162095486866925,38.18710000000001,15581.707811999999,0.1713069593855098,0
C00023,09-09-2024,Search,West,CTV,Boomers,App Installs,114432,5449.0,4.76,7824.91,339.0,6.22,65.49,178,36,8.22,33902.41,4.332072564085199,4.761738309753306,6.220183486238532,1.4357633027522936,23.014441176470587,0.16651526545345166,61.42780000000001,7338.200597999999,0.2469388493125676,0
C00024,01-04-2025,Display,Central,Mobile,Gen Z,App Installs,254816,4304.0,1.69,3932.78,0.0,0.0,68.07,205,28,5.33,237.18,0.060293153150404954,1.6890552828108016,0.0,0.9135377468060395,3932.78,0.0,65.4565,3932.78,0.15990030656537865,0
C00025,29-09-2024,Display,East,Mobile,Gen X,Sales,310159,1347.0,0.43,1482.35,13.0,0.97,39.2,159,31,7.3,411.26,0.277250817406546,0.43429197833376326,0.9643916913946587,1.0996661721068248,105.88214285714285,0.03836567164179104,96.672,1467.9712049999998,0.21907440667265618,0
C00026,18-07-2025,Social,West,Mobile,Gen X,App Installs,113730,3133.0,2.75,3221.78,82.0,2.62,49.79,110,36,6.52,7647.39,2.3729171708897288,2.75474584765807,2.6164645820038293,1.0280089342693044,38.8166265060241,0.05674345343571569,55.231,3137.369364,0.1957200289937866,0
C00027,06-05-2025,Social,Central,Mobile,Gen X,App Installs,101325,1262.0,1.25,1701.49,46.0,3.65,58.68,72,34,7.43,3171.71,1.862983042484831,1.2454848706156367,3.642121931908155,1.3471813143309581,36.20191489361702,0.044034852546916886,29.7504,1639.3856150000001,0.22299325599988604,0
C00028,08-09-2024,Email,South,Desktop,Gen X,Traffic,23332,1187.0,5.09,624.87,75.0,6.32,63.56,189,43,7.13,3411.24,5.450397047310144,5.087215531650452,6.313131313131313,0.5259848484848485,8.221973684210527,0.1850185873605948,68.87159999999999,585.378216,0.21427974112108902,0
C00029,26-04-2024,Email,Central,Mobile,Gen X,Sales,77703,3187.0,4.1,2955.5,198.0,6.21,70.01,268,34,6.83,21226.88,7.179732792152884,4.101461958200351,6.210790464240904,0.9270702634880803,14.85175879396985,0.23437262357414448,80.37319999999998,2771.9634499999997,0.20538243819793706,0
C00030,13-12-2024,Search,North,Tablet,Gen X,Traffic,99771,6109.0,6.12,8020.94,219.0,3.58,51.26,121,41,4.6,10526.6,1.312226219592767,6.122960349597081,3.5842880523731586,1.3127561374795416,36.45881818181818,0.08288939915805586,58.97540000000001,7733.7903479999995,0.13816438276583806,1
C00031,11-07-2025,Search,South,Mobile,Gen Z,Sales,86742,4083.0,4.71,7340.57,303.0,7.42,42.76,246,49,7.39,35156.9,4.788744096971084,4.707008058287124,7.419196865817826,1.7973971596474045,24.146611842105262,0.4171206581352834,140.81040000000002,6795.899705999999,0.22251798906530423,0
C00032,09-12-2025,Search,Central,Desktop,Millennials,Sales,167905,8124.0,4.84,8989.07,555.0,6.83,75.12,110,29,6.54,51151.6,5.689788844803211,4.838421497742785,6.8307692307692305,1.106347076923077,16.167392086330935,0.09869942196531792,27.36799999999999,8375.116519,0.19641672199012417,1
C00033,27-04-2024,Email,South,Tablet,Boomers,Traffic,76070,2131.0,2.8,1410.81,295.0,13.84,55.5,208,29,7.08,27094.6,19.191392609487114,2.8013303361333493,13.836772983114445,0.6617307692307692,4.766249999999999,0.5095079646017698,92.55999999999999,1215.553896,0.21346700245736092,0
C00034,10-03-2025,Email,South,Tablet,Boomers,Leads,55150,2545.0,4.61,612.77,176.0,6.92,51.17,183,52,6.95,5836.52,9.509295012789808,4.614603543000127,6.912804399057344,0.24067949725058915,3.4619774011299436,0.24273720529039675,89.35889999999999,570.366316,0.20901019802963722,0
C00035,12-02-2024,Video,Central,CTV,Gen Z,Traffic,196611,3658.0,1.86,6463.73,356.0,9.73,45.3,131,32,5.78,24854.45,3.8446230546364664,1.860517160702297,9.729434271658924,1.7665291063132003,18.105686274509804,0.27529805615550756,71.65700000000001,5834.809071,0.17394334789736215,0
C00036,29-06-2025,Social,North,Tablet,Gen Z,App Installs,91757,1945.0,2.12,1935.88,57.0,2.93,52.62,170,32,7.05,6005.26,3.1004811862376607,2.119706183657011,2.9290853031860227,0.9947995889003084,33.37724137931035,0.09289444237224918,80.546,1879.1587160000001,0.21169251152379073,0
C00037,09-06-2025,Email,South,Desktop,Gen Z,Awareness,84603,4544.0,5.37,2719.32,577.0,12.7,50.08,102,20,4.59,51753.06,19.024622103281963,5.370904448962224,12.695269526952696,0.5983102310231023,4.7047058823529415,0.2536021926389977,50.9184,2373.9663600000003,0.13827925189071555,0
C00038,14-12-2025,Affiliate,North,Desktop,Gen Z,Awareness,120929,2168.0,1.79,910.19,25.0,1.15,46.13,142,21,10.0,3268.45,3.587012587934459,1.7927726784089968,1.1526048870447212,0.4196357768556939,35.00730769230769,0.03464884362401867,76.49539999999999,899.7228150000001,0.30008416354860634,0
C00039,14-09-2025,Display,North,Desktop,Gen X,Sales,243281,1465.0,0.6,1821.09,0.0,0.0,52.42,167,30,6.46,0.0,0.0,0.6021818301395089,0.0,1.2422169167803547,1821.09,0.0,79.4586,1821.09,0.1938,0
